,MD Cutoffs,optimal read fraction cutoff,AUC,TPR,1 - FPR
0,0.0,0.005398539218799619,0.6163227016885553,0.5,0.8292682926829268
1,0.05,0.005398539218799619,0.6163227016885553,0.5,0.8292682926829268
2,0.1,0.0036043251902282735,0.6660412757973734,0.6538461538461539,0.7560975609756098
3,0.15,0.0030978934324659233,0.7575046904315197,0.6153846153846154,0.975609756097561
4,0.2,0.0030978934324659233,0.7575046904315197,0.6153846153846154,0.975609756097561
5,0.25,0.0028580501746586218,0.7570356472795496,0.5769230769230769,0.975609756097561
6,0.3,0.0025087807325639734,0.7579737335834897,0.5769230769230769,0.975609756097561
7,0.35,0.0025087807325639734,0.7579737335834897,0.5769230769230769,0.975609756097561
8,0.4,0.0013430029546065,0.7748592870544091,0.7692307692307693,0.9024390243902439
9,0.45,0.0013430029546065,0.7767354596622891,0.6923076923076923,0.9512195121951219
10,0.5,0.001239157372986369,0.7757973733583491,0.6923076923076923,0.926829268292683
11,0.55,0.001239157372986369,0.7757973733583491,0.6923076923076923,0.926829268292683
12,0.6,0.0009233610341643582,0.7406191369606003,0.6923076923076923,0.9024390243902439
13,0.65,0.0009074410163339383,0.7607879924953095,0.6923076923076923,0.926829268292683
14,0.7,0.0009074410163339383,0.7607879924953095,0.6923076923076923,0.926829268292683
15,0.75,0.0008058017727639,0.7514071294559099,0.6153846153846154,0.9512195121951219
16,0.8,0.0006155740227762388,0.7579737335834897,0.6153846153846154,0.926829268292683
17,0.85,0.00026860059092130003,0.7476547842401502,0.6538461538461539,0.9024390243902439
18,0.9,0.00026860059092130003,0.7476547842401502,0.6538461538461539,0.9024390243902439
19,0.95,0.0003175611305176246,0.7035647279549718,0.5384615384615384,0.975609756097561
20,1.0,0.0003175611305176246,0.7035647279549718,0.5384615384615384,0.975609756097561
